店舗名,エリア,最寄駅,ジャンル,食べログURL,住所,Google Maps,評価点数
俺のフレンチ・イタリアン 青山,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130601/13160318/,東京都港区北青山3-11-7 Aoビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B13-11-7%20Ao%E3%83%93%E3%83%AB%201F,3.48
MATOI-YA 表参道店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13166362/,東京都渋谷区神宮前5-50-6 中島ビル B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D5-50-6%20%E4%B8%AD%E5%B3%B6%E3%83%93%E3%83%AB%20B1F,3.25
青山Indigo,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13008268/,東京都港区南青山2-22-1,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B12-22-1,3.44
The Burn,原宿・表参道・青山,青山一丁目駅,東京,https://tabelog.com/tokyo/A1306/A130603/13225589/,東京都港区北青山1-2-3 青山ビル B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B11-2-3%20%E9%9D%92%E5%B1%B1%E3%83%93%E3%83%AB%20B1F,3.54
イータリー 原宿店,原宿・表参道・青山,原宿駅,東京,https://tabelog.com/tokyo/A1306/A130601/13245475/,東京都渋谷区神宮前 1-14-30 ウィズ原宿 3F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D%201-14-30%20%E3%82%A6%E3%82%A3%E3%82%BA%E5%8E%9F%E5%AE%BF%203F,3.42
ちゃい九炉 表参道 南青山三丁目店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13151777/,東京都港区南青山3-8-2 サンブリッジ青山 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B13-8-2%20%E3%82%B5%E3%83%B3%E3%83%96%E3%83%AA%E3%83%83%E3%82%B8%E9%9D%92%E5%B1%B1%202F,3.02
Pak Soi 54,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13296782/,東京都渋谷区神宮前1-8-25 BU1825 原宿 202,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-8-25%20BU1825%20%E5%8E%9F%E5%AE%BF%20202,3.06
原宿焼肉 KINTAN,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13186036/,東京都渋谷区神宮前1-10-37 CASCADE　Harajuku,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-10-37%20CASCADE%E3%80%80Harajuku,3.48
vegan veggie 嫦娥,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13271324/,東京都港区南青山6-2-13 ファイン青山 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B16-2-13%20%E3%83%95%E3%82%A1%E3%82%A4%E3%83%B3%E9%9D%92%E5%B1%B1%201F,3.36
ひごの屋 外苑前店,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13034812/,東京都港区南青山2-27-28 グラン青山　２Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B12-27-28%20%E3%82%B0%E3%83%A9%E3%83%B3%E9%9D%92%E5%B1%B1%E3%80%80%EF%BC%92%EF%BC%A6,3.25
