店舗名,エリア,最寄駅,ジャンル,食べログURL,住所,Google Maps,評価点数
バルバッコア 青山本店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13003475/,東京都渋谷区神宮前4-3-2 ＴＯＫＹＵ　ＲＥＩＴ表参道スクエア　Ｂ１Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D4-3-2%20%EF%BC%B4%EF%BC%AF%EF%BC%AB%EF%BC%B9%EF%BC%B5%E3%80%80%EF%BC%B2%EF%BC%A5%EF%BC%A9%EF%BC%B4%E8%A1%A8%E5%8F%82%E9%81%93%E3%82%B9%E3%82%AF%E3%82%A8%E3%82%A2%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,3.51
キハチ 青山本店,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13154460/,東京都港区北青山2-1-19,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B12-1-19,3.51
PURPLE COFFEE,原宿・表参道・青山,原宿駅,東京,https://tabelog.com/tokyo/A1306/A130601/13300095/,東京都渋谷区神宮前1-20-4 AXIA原宿 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-20-4%20AXIA%E5%8E%9F%E5%AE%BF%201F,3.24
HealthyTOKYO CBD Shop&Cafe Harajuku,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13244241/,東京都渋谷区神宮前3-27-14,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D3-27-14,3.09
ピーディーエックス タップルーム,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13186707/,東京都渋谷区神宮前5-30-2 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D5-30-2%202F,3.39
おすし屋さんのポークたまごおにぎり,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13265087/,東京都渋谷区神宮前6-2-7,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D6-2-7,3.21
ジャジーズ スピークイージー スパイシーカレー＆グッドコーヒー,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13246140/,東京都港区南青山3-2-6,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B13-2-6,3.09
ローストビーフ大野 原宿店,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13195738/,東京都渋谷区神宮前4-31-10 YMスクウェア B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D4-31-10%20YM%E3%82%B9%E3%82%AF%E3%82%A6%E3%82%A7%E3%82%A2%20B1F,3.41
サブウェイ 表参道店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13040695/,東京都港区北青山3-5-25 下島ビル1F(表参道交差点前),https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B13-5-25%20%E4%B8%8B%E5%B3%B6%E3%83%93%E3%83%AB1F%28%E8%A1%A8%E5%8F%82%E9%81%93%E4%BA%A4%E5%B7%AE%E7%82%B9%E5%89%8D%29,3.07
PIZZERIA SPONTINI カスケード原宿店,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13188197/,東京都渋谷区神宮前1-10-37 CASCADE HARAJUKU 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-10-37%20CASCADE%20HARAJUKU%202F,3.48
AFURI 南青山,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13298970/,東京都港区南青山5-6-4 ハイトリオ南青山 B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B15-6-4%20%E3%83%8F%E3%82%A4%E3%83%88%E3%83%AA%E3%82%AA%E5%8D%97%E9%9D%92%E5%B1%B1%20B1F,3.05
MINOAKA DELI & CAFE,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13294344/,東京都渋谷区神宮前2-6-10 CORAL Bldg. 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D2-6-10%20CORAL%20Bldg.%201F,3.08
Rojiura Curry SAMURAI. 原宿店,原宿・表参道・青山,原宿駅,東京,https://tabelog.com/tokyo/A1306/A130601/13281499/,東京都渋谷区神宮前1-2-14,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-2-14,3.09
TOKYO SPICE ななCURRY 青山,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13260956/,東京都港区北青山2-12-27 ハレクラニ北青山 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B12-12-27%20%E3%83%8F%E3%83%AC%E3%82%AF%E3%83%A9%E3%83%8B%E5%8C%97%E9%9D%92%E5%B1%B1%201F,3.38
インド定食 ターリー屋 新青山ビル店,原宿・表参道・青山,青山一丁目駅,東京,https://tabelog.com/tokyo/A1306/A130603/13132140/,東京都港区南青山1-1-1 新青山ビル東館 B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B11-1-1%20%E6%96%B0%E9%9D%92%E5%B1%B1%E3%83%93%E3%83%AB%E6%9D%B1%E9%A4%A8%20B1F,3.05
ごっつ食べなはれ 表参道店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13252422/,東京都渋谷区神宮前4-9-4 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D4-9-4%201F,3.04
南青山カフェ,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13269180/,東京都港区南青山4-2-1 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B14-2-1%201F,3.06
THE GREAT BURGER,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13042654/,東京都渋谷区神宮前6-12-5 1Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D6-12-5%201%EF%BC%A6,3.69
青山酒場,原宿・表参道・青山,青山一丁目駅,東京,https://tabelog.com/tokyo/A1306/A130603/13240619/,東京都港区南青山2-2-15 ウイン青山 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B12-2-15%20%E3%82%A6%E3%82%A4%E3%83%B3%E9%9D%92%E5%B1%B1%201F,3.11
GRANNY SMITH  APPLE PIE & COFFEE 青山店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13160850/,東京都港区南青山5-8-9,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B15-8-9,3.61
ピコデガヨ,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13283299/,東京都渋谷区神宮前6-4-2 神宮前Fビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D6-4-2%20%E7%A5%9E%E5%AE%AE%E5%89%8DF%E3%83%93%E3%83%AB%201F,3.24
C.O.D,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13115741/,東京都港区北青山2-11-17,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B12-11-17,3.33
しずる,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13211741/,東京都渋谷区神宮前4-26-28,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D4-26-28,3.28
ウズナ オムオム,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13046132/,東京都渋谷区神宮前5-17-8 原宿XS203号　2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D5-17-8%20%E5%8E%9F%E5%AE%BFXS203%E5%8F%B7%E3%80%802F,3.55
カフィアライム,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13258319/,東京都渋谷区神宮前6-6-2 原宿ベルピアビル 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D6-6-2%20%E5%8E%9F%E5%AE%BF%E3%83%99%E3%83%AB%E3%83%94%E3%82%A2%E3%83%93%E3%83%AB%202F,3.43
ラ･スコリエーラ,原宿・表参道・青山,赤坂駅,東京,https://tabelog.com/tokyo/A1306/A130603/13002849/,東京都港区赤坂4-15-1 赤坂ガーデンシティ　Ｂ１Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E8%B5%A4%E5%9D%824-15-1%20%E8%B5%A4%E5%9D%82%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3%E3%82%B7%E3%83%86%E3%82%A3%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,3.57
GOKU BURGER,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13236739/,東京都渋谷区神宮前5-8-5 ジュビリープラザビル 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D5-8-5%20%E3%82%B8%E3%83%A5%E3%83%93%E3%83%AA%E3%83%BC%E3%83%97%E3%83%A9%E3%82%B6%E3%83%93%E3%83%AB%202F,3.48
ステーキのくいしんぼ 青山店,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13055454/,東京都港区北青山2-7-21 青山アイアイビル　Ｂ１Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B12-7-21%20%E9%9D%92%E5%B1%B1%E3%82%A2%E3%82%A4%E3%82%A2%E3%82%A4%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,3.04
cf. HARAJUKU,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13291801/,東京都渋谷区神宮前1-9-30 FLEG原宿 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-9-30%20FLEG%E5%8E%9F%E5%AE%BF%201F,3.09
マリーンハウス 原宿店,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13254526/,東京都渋谷区神宮前1-10-37 カスケード原宿 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-10-37%20%E3%82%AB%E3%82%B9%E3%82%B1%E3%83%BC%E3%83%89%E5%8E%9F%E5%AE%BF%201F,3.18
ラ・ブーレット,原宿・表参道・青山,原宿駅,東京,https://tabelog.com/tokyo/A1306/A130601/13014493/,東京都渋谷区神宮前1-16-3,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-16-3,3.40
The Beet,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13292758/,東京都渋谷区神宮前5-16-5,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D5-16-5,3.23
Tokyo Juice,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13234439/,東京都渋谷区神宮前3-1-24 ソフトタウン 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D3-1-24%20%E3%82%BD%E3%83%95%E3%83%88%E3%82%BF%E3%82%A6%E3%83%B3%201F,3.46
ラーメンロックマウンテン,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13292884/,東京都港区北青山3-5-9,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B13-5-9,3.42
ピッツァ ケベロス 明治神宮前店,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13171079/,東京都渋谷区神宮前6-12-4 ヒダノビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D6-12-4%20%E3%83%92%E3%83%80%E3%83%8E%E3%83%93%E3%83%AB%201F,3.61
ドトールコーヒーショップ 原宿店,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13034113/,東京都渋谷区神宮前1-13-18 第２大英ビル Ｆ１＆Ｆ２,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-13-18%20%E7%AC%AC%EF%BC%92%E5%A4%A7%E8%8B%B1%E3%83%93%E3%83%AB%20%EF%BC%A6%EF%BC%91%EF%BC%86%EF%BC%A6%EF%BC%92,3.05
CAROLINE DINER,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13189280/,東京都渋谷区神宮前2-14-11 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D2-14-11%201F,3.12
アイランド・ヴィンテージ・コーヒー 表参道店,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13178497/,東京都渋谷区神宮前6-1-10 富士鳥居ビル 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D6-1-10%20%E5%AF%8C%E5%A3%AB%E9%B3%A5%E5%B1%85%E3%83%93%E3%83%AB%202F,3.49
Café Kitsuné Aoyama,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13240776/,東京都港区南青山3-15-9,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B13-15-9,3.59
NOA COFFEE 原宿店,原宿・表参道・青山,原宿駅,東京,https://tabelog.com/tokyo/A1306/A130601/13055769/,東京都渋谷区神宮前1-17-5,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-17-5,3.41
バサノバ 原宿,原宿・表参道・青山,原宿駅,東京,https://tabelog.com/tokyo/A1306/A130601/13243660/,東京都渋谷区神宮前1-15-4 バルビゾン76番館 1F A号室,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-15-4%20%E3%83%90%E3%83%AB%E3%83%93%E3%82%BE%E3%83%B376%E7%95%AA%E9%A4%A8%201F%20A%E5%8F%B7%E5%AE%A4,3.49
BRISKSTAND OMOTESANDO,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13302086/,東京都渋谷区神宮前4-4-4 B-Flat COMMUNE,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D4-4-4%20B-Flat%20COMMUNE,3.06
